"id";"target_no";"cond_c";"cond_q";"expec";"list"
"amr97l6io9m4m717pm5ok6fc86";NA;"f5";"q5";"55";1
"amr97l6io9m4m717pm5ok6fc86";NA;"f11";"q2";"65";1
"amr97l6io9m4m717pm5ok6fc86";NA;"f7";"q4";"76";1
"bft0am9hp692ctgkb0ljmgb0p3";NA;"f7";"q4";"100";1
"bft0am9hp692ctgkb0ljmgb0p3";NA;"f8";"q5";"0";1
"bft0am9hp692ctgkb0ljmgb0p3";NA;"f3";"q1";"100";1
"bft0am9hp692ctgkb0ljmgb0p3";NA;"f10";"q1";"100";1
"bft0am9hp692ctgkb0ljmgb0p3";NA;"f6";"q3";"43";1
"bft0am9hp692ctgkb0ljmgb0p3";NA;"f2";"q3";"100";1
"bft0am9hp692ctgkb0ljmgb0p3";NA;"f14";"q3";"50";1
"bft0am9hp692ctgkb0ljmgb0p3";NA;"f5";"q3";"100";1
"bft0am9hp692ctgkb0ljmgb0p3";NA;"f12";"q2";"80";1
"bft0am9hp692ctgkb0ljmgb0p3";NA;"f11";"q1";"7";1
"bft0am9hp692ctgkb0ljmgb0p3";NA;"f1";"q1";"53";1
"bft0am9hp692ctgkb0ljmgb0p3";NA;"f13";"q4";"100";1
"bft0am9hp692ctgkb0ljmgb0p3";NA;"f9";"q3";"22";1
"bft0am9hp692ctgkb0ljmgb0p3";NA;"f4";"q1";"100";1
"bidbn1cp7au9rcdqv4eq2tpig7";NA;"f4";"q3";"56";1
"bidbn1cp7au9rcdqv4eq2tpig7";NA;"f9";"q2";"100";1
"bidbn1cp7au9rcdqv4eq2tpig7";NA;"f12";"q3";"3";1
"bidbn1cp7au9rcdqv4eq2tpig7";NA;"f1";"q4";"89";1
"bidbn1cp7au9rcdqv4eq2tpig7";NA;"f7";"q1";"3";1
"bidbn1cp7au9rcdqv4eq2tpig7";NA;"f14";"q3";"29";1
"bidbn1cp7au9rcdqv4eq2tpig7";NA;"f5";"q5";"2";1
"bidbn1cp7au9rcdqv4eq2tpig7";NA;"f6";"q4";"0";1
"bidbn1cp7au9rcdqv4eq2tpig7";NA;"f10";"q1";"100";1
"bidbn1cp7au9rcdqv4eq2tpig7";NA;"f8";"q1";"39";1
"bidbn1cp7au9rcdqv4eq2tpig7";NA;"f2";"q2";"0";1
"bidbn1cp7au9rcdqv4eq2tpig7";NA;"f13";"q2";"50";1
"bidbn1cp7au9rcdqv4eq2tpig7";NA;"f3";"q4";"1";1
"bidbn1cp7au9rcdqv4eq2tpig7";NA;"f11";"q2";"72";1
"cu9f77f0qjn23sdp3n0jgtm6n6";NA;"f7";"q2";"31";1
"cu9f77f0qjn23sdp3n0jgtm6n6";NA;"f12";"q5";"0";1
"cu9f77f0qjn23sdp3n0jgtm6n6";NA;"f8";"q5";"0";1
"cu9f77f0qjn23sdp3n0jgtm6n6";NA;"f14";"q5";"0";1
"cu9f77f0qjn23sdp3n0jgtm6n6";NA;"f2";"q1";"64";1
"cu9f77f0qjn23sdp3n0jgtm6n6";NA;"f1";"q4";"74";1
"cu9f77f0qjn23sdp3n0jgtm6n6";NA;"f9";"q1";"31";1
"cu9f77f0qjn23sdp3n0jgtm6n6";NA;"f13";"q5";"0";1
"cu9f77f0qjn23sdp3n0jgtm6n6";NA;"f4";"q5";"22";1
"cu9f77f0qjn23sdp3n0jgtm6n6";NA;"f5";"q1";"0";1
"cu9f77f0qjn23sdp3n0jgtm6n6";NA;"f11";"q5";"0";1
"cu9f77f0qjn23sdp3n0jgtm6n6";NA;"f10";"q1";"20";1
"cu9f77f0qjn23sdp3n0jgtm6n6";NA;"f6";"q3";"0";1
"cu9f77f0qjn23sdp3n0jgtm6n6";NA;"f3";"q5";"0";1
"e267o714nnfeld80nh13evr5q0";NA;"f12";"q1";"71";1
"e267o714nnfeld80nh13evr5q0";NA;"f3";"q3";"41";1
"e267o714nnfeld80nh13evr5q0";NA;"f2";"q1";"100";1
"e267o714nnfeld80nh13evr5q0";NA;"f9";"q2";"100";1
"e267o714nnfeld80nh13evr5q0";NA;"f13";"q1";"100";1
"e267o714nnfeld80nh13evr5q0";NA;"f6";"q3";"0";1
"e267o714nnfeld80nh13evr5q0";NA;"f8";"q3";"100";1
"e267o714nnfeld80nh13evr5q0";NA;"f11";"q1";"0";1
"e267o714nnfeld80nh13evr5q0";NA;"f10";"q1";"100";1
"e267o714nnfeld80nh13evr5q0";NA;"f7";"q4";"100";1
"e267o714nnfeld80nh13evr5q0";NA;"f14";"q4";"0";1
"e267o714nnfeld80nh13evr5q0";NA;"f1";"q5";"0";1
"e267o714nnfeld80nh13evr5q0";NA;"f5";"q5";"0";1
"e267o714nnfeld80nh13evr5q0";NA;"f4";"q3";"100";1
"gikagld2tdp27qolv66tl5fj46";NA;"f9";"q1";"82";1
"gikagld2tdp27qolv66tl5fj46";NA;"f5";"q4";"50";1
"gikagld2tdp27qolv66tl5fj46";NA;"f4";"q5";"0";1
"gikagld2tdp27qolv66tl5fj46";NA;"f6";"q5";"0";1
"gikagld2tdp27qolv66tl5fj46";NA;"f2";"q1";"22";1
"gikagld2tdp27qolv66tl5fj46";NA;"f7";"q2";"15";1
"gikagld2tdp27qolv66tl5fj46";NA;"f12";"q4";"0";1
"gikagld2tdp27qolv66tl5fj46";NA;"f3";"q3";"18";1
"gikagld2tdp27qolv66tl5fj46";NA;"f10";"q3";"0";1
"gikagld2tdp27qolv66tl5fj46";NA;"f11";"q5";"0";1
"gikagld2tdp27qolv66tl5fj46";NA;"f14";"q4";"0";1
"gikagld2tdp27qolv66tl5fj46";NA;"f8";"q4";"0";1
"gikagld2tdp27qolv66tl5fj46";NA;"f13";"q1";"100";1
"gikagld2tdp27qolv66tl5fj46";NA;"f1";"q3";"74";1
"hq5lo2ts1uupkmjhacioi14oo7";NA;"f7";"q5";"39";1
"hq5lo2ts1uupkmjhacioi14oo7";NA;"f11";"q3";"25";1
"hq5lo2ts1uupkmjhacioi14oo7";NA;"f2";"q3";"77";1
"hq5lo2ts1uupkmjhacioi14oo7";NA;"f5";"q1";"43";1
"hq5lo2ts1uupkmjhacioi14oo7";NA;"f14";"q2";"5";1
"hq5lo2ts1uupkmjhacioi14oo7";NA;"f1";"q5";"16";1
"hq5lo2ts1uupkmjhacioi14oo7";NA;"f8";"q2";"85";1
"hq5lo2ts1uupkmjhacioi14oo7";NA;"f12";"q4";"0";1
"hq5lo2ts1uupkmjhacioi14oo7";NA;"f6";"q1";"78";1
"hq5lo2ts1uupkmjhacioi14oo7";NA;"f13";"q4";"62";1
"hq5lo2ts1uupkmjhacioi14oo7";NA;"f9";"q3";"67";1
"hq5lo2ts1uupkmjhacioi14oo7";NA;"f10";"q4";"73";1
"hq5lo2ts1uupkmjhacioi14oo7";NA;"f3";"q3";"68";1
"hq5lo2ts1uupkmjhacioi14oo7";NA;"f4";"q1";"77";1
"hqieqanp7dkmsoslf4ivknfem0";NA;"f12";"q3";"100";1
"hqieqanp7dkmsoslf4ivknfem0";NA;"f2";"q1";"100";1
"hqieqanp7dkmsoslf4ivknfem0";NA;"f9";"q5";"28";1
"hqieqanp7dkmsoslf4ivknfem0";NA;"f4";"q5";"0";1
"hqieqanp7dkmsoslf4ivknfem0";NA;"f1";"q4";"100";1
"hqieqanp7dkmsoslf4ivknfem0";NA;"f10";"q5";"100";1
"hqieqanp7dkmsoslf4ivknfem0";NA;"f7";"q1";"0";1
"hqieqanp7dkmsoslf4ivknfem0";NA;"f11";"q2";"100";1
"hqieqanp7dkmsoslf4ivknfem0";NA;"f13";"q4";"51";1
"hqieqanp7dkmsoslf4ivknfem0";NA;"f8";"q2";"53";1
"hqieqanp7dkmsoslf4ivknfem0";NA;"f5";"q4";"0";1
"hqieqanp7dkmsoslf4ivknfem0";NA;"f3";"q2";"0";1
"hqieqanp7dkmsoslf4ivknfem0";NA;"f6";"q1";"49";1
"hqieqanp7dkmsoslf4ivknfem0";NA;"f14";"q5";"0";1
"i5a1f23r9rusmkuftaa1477vc6";NA;"f1";"q1";"15";1
"i5a1f23r9rusmkuftaa1477vc6";NA;"f5";"q2";"68";1
"i5a1f23r9rusmkuftaa1477vc6";NA;"f7";"q4";"77";1
"i5a1f23r9rusmkuftaa1477vc6";NA;"f6";"q3";"77";1
"i5a1f23r9rusmkuftaa1477vc6";NA;"f2";"q3";"90";1
"i5a1f23r9rusmkuftaa1477vc6";NA;"f14";"q5";"0";1
"i5a1f23r9rusmkuftaa1477vc6";NA;"f8";"q2";"82";1
"i5a1f23r9rusmkuftaa1477vc6";NA;"f4";"q1";"100";1
"i5a1f23r9rusmkuftaa1477vc6";NA;"f9";"q2";"100";1
"i5a1f23r9rusmkuftaa1477vc6";NA;"f12";"q3";"73";1
"i5a1f23r9rusmkuftaa1477vc6";NA;"f10";"q1";"70";1
"i5a1f23r9rusmkuftaa1477vc6";NA;"f13";"q3";"54";1
"i5a1f23r9rusmkuftaa1477vc6";NA;"f3";"q3";"69";1
"i5a1f23r9rusmkuftaa1477vc6";NA;"f11";"q3";"29";1
"kl5a7178bdmd74u752us1820d7";NA;"f11";"q1";"87";1
"kl5a7178bdmd74u752us1820d7";NA;"f4";"q1";"51";1
"kl5a7178bdmd74u752us1820d7";NA;"f14";"q2";"73";1
"kl5a7178bdmd74u752us1820d7";NA;"f3";"q3";"100";1
"kl5a7178bdmd74u752us1820d7";NA;"f9";"q2";"100";1
"kl5a7178bdmd74u752us1820d7";NA;"f8";"q4";"100";1
"kl5a7178bdmd74u752us1820d7";NA;"f13";"q3";"90";1
"kl5a7178bdmd74u752us1820d7";NA;"f12";"q2";"62";1
"kl5a7178bdmd74u752us1820d7";NA;"f1";"q1";"100";1
"kl5a7178bdmd74u752us1820d7";NA;"f6";"q3";"100";1
"kl5a7178bdmd74u752us1820d7";NA;"f2";"q3";"100";1
"kl5a7178bdmd74u752us1820d7";NA;"f10";"q2";"75";1
"kl5a7178bdmd74u752us1820d7";NA;"f7";"q3";"0";1
"kl5a7178bdmd74u752us1820d7";NA;"f5";"q5";"0";1
"l0g69ophopetji8r6jf4c0c1u2";NA;"f12";"q4";"0";1
"l0g69ophopetji8r6jf4c0c1u2";NA;"f11";"q5";"10";1
"l0g69ophopetji8r6jf4c0c1u2";NA;"f4";"q3";"58";1
"l0g69ophopetji8r6jf4c0c1u2";NA;"f6";"q4";"13";1
"l0g69ophopetji8r6jf4c0c1u2";NA;"f9";"q5";"36";1
"l0g69ophopetji8r6jf4c0c1u2";NA;"f14";"q2";"59";1
"l0g69ophopetji8r6jf4c0c1u2";NA;"f8";"q5";"0";1
"l0g69ophopetji8r6jf4c0c1u2";NA;"f7";"q1";"71";1
"l0g69ophopetji8r6jf4c0c1u2";NA;"f3";"q2";"70";1
