"id";"cond_c";"target_no";"condA";"condB";"judgment";"list"
"vdjjv8gl2ssgads5pq7vrgosr1";"control";"1";"definite";"pro";-100;1
"vdjjv8gl2ssgads5pq7vrgosr1";"f";"3";"unfront";"front";-100;1
"vdjjv8gl2ssgads5pq7vrgosr1";"control";"2";"definite";"pro";-100;1
"vdjjv8gl2ssgads5pq7vrgosr1";"f";"2";"unfront";"front";-100;1
"vdjjv8gl2ssgads5pq7vrgosr1";"f";"6";"no_dm";"dm";100;1
"vdjjv8gl2ssgads5pq7vrgosr1";"f";"1";"unfront";"front";100;1
"vdjjv8gl2ssgads5pq7vrgosr1";"f";"8";"no_dm";"dm";100;1
"vdjjv8gl2ssgads5pq7vrgosr1";"f";"4";"unfront";"front";-100;1
"vdjjv8gl2ssgads5pq7vrgosr1";"control";"3";"definite";"pro";100;1
"vdjjv8gl2ssgads5pq7vrgosr1";"f";"7";"no_dm";"dm";100;1
"vhnucem3l1p3qt6m4p18fin6r2";"f";"6";"dm";"no_dm";-85;1
"vhnucem3l1p3qt6m4p18fin6r2";"control";"2";"definite";"pro";86;1
"vhnucem3l1p3qt6m4p18fin6r2";"f";"3";"unfront";"front";-27;1
"vhnucem3l1p3qt6m4p18fin6r2";"f";"5";"no_dm";"dm";38;1
"vhnucem3l1p3qt6m4p18fin6r2";"f";"8";"no_dm";"dm";75;1
"vhnucem3l1p3qt6m4p18fin6r2";"f";"1";"unfront";"front";-79;1
"vhnucem3l1p3qt6m4p18fin6r2";"control";"3";"definite";"pro";69;1
"vhnucem3l1p3qt6m4p18fin6r2";"f";"2";"unfront";"front";-90;1
"vhnucem3l1p3qt6m4p18fin6r2";"f";"4";"unfront";"front";-87;1
"vhnucem3l1p3qt6m4p18fin6r2";"control";"1";"definite";"pro";-78;1
"vhnucem3l1p3qt6m4p18fin6r2";"f";"7";"no_dm";"dm";77;1
"vhnucem3l1p3qt6m4p18fin6r2";"control";"4";"definite";"pro";76;1
"16bveu42tt1jjh91o5l78m4bc4";"f";"8";"no_dm";"dm";100;2
"16bveu42tt1jjh91o5l78m4bc4";"f";"6";"dm";"no_dm";-100;2
"16bveu42tt1jjh91o5l78m4bc4";"f";"3";"unfront";"front";-51;2
"16bveu42tt1jjh91o5l78m4bc4";"f";"2";"unfront";"front";1;2
"16bveu42tt1jjh91o5l78m4bc4";"f";"1";"unfront";"front";-53;2
"16bveu42tt1jjh91o5l78m4bc4";"control";"1";"definite";"pro";-100;2
"16bveu42tt1jjh91o5l78m4bc4";"control";"3";"definite";"pro";49;2
"16bveu42tt1jjh91o5l78m4bc4";"control";"4";"definite";"pro";48;2
"16bveu42tt1jjh91o5l78m4bc4";"f";"7";"no_dm";"dm";100;2
"16bveu42tt1jjh91o5l78m4bc4";"f";"5";"no_dm";"dm";52;2
"16bveu42tt1jjh91o5l78m4bc4";"control";"2";"definite";"pro";-100;2
"16bveu42tt1jjh91o5l78m4bc4";"f";"4";"unfront";"front";-100;2
"4stn5sj07hea4k03rv7o7gfqp6";"f";"4";"unfront";"front";-100;2
"4stn5sj07hea4k03rv7o7gfqp6";"control";"1";"definite";"pro";-100;2
"4stn5sj07hea4k03rv7o7gfqp6";"f";"7";"dm";"no_dm";0;2
"4stn5sj07hea4k03rv7o7gfqp6";"f";"6";"no_dm";"dm";98;2
"4stn5sj07hea4k03rv7o7gfqp6";"f";"1";"front";"unfront";100;2
"4stn5sj07hea4k03rv7o7gfqp6";"f";"2";"front";"unfront";93;2
"4stn5sj07hea4k03rv7o7gfqp6";"f";"8";"dm";"no_dm";-98;2
"4stn5sj07hea4k03rv7o7gfqp6";"f";"3";"front";"unfront";-88;2
"4stn5sj07hea4k03rv7o7gfqp6";"control";"2";"definite";"pro";-49;2
"4stn5sj07hea4k03rv7o7gfqp6";"control";"4";"definite";"pro";95;2
"4stn5sj07hea4k03rv7o7gfqp6";"control";"3";"definite";"pro";86;2
"4stn5sj07hea4k03rv7o7gfqp6";"f";"5";"dm";"no_dm";76;2
"58mgtloh8olpnudlbgjrhn3kp6";"f";"2";"unfront";"front";-68;2
"58mgtloh8olpnudlbgjrhn3kp6";"control";"1";"definite";"pro";-73;2
"58mgtloh8olpnudlbgjrhn3kp6";"f";"5";"no_dm";"dm";99;2
"58mgtloh8olpnudlbgjrhn3kp6";"f";"4";"unfront";"front";-100;2
"58mgtloh8olpnudlbgjrhn3kp6";"f";"6";"dm";"no_dm";-82;2
"58mgtloh8olpnudlbgjrhn3kp6";"f";"7";"dm";"no_dm";-100;2
"58mgtloh8olpnudlbgjrhn3kp6";"control";"4";"definite";"pro";100;2
"58mgtloh8olpnudlbgjrhn3kp6";"control";"2";"definite";"pro";-83;2
"58mgtloh8olpnudlbgjrhn3kp6";"f";"8";"dm";"no_dm";-100;2
"58mgtloh8olpnudlbgjrhn3kp6";"f";"1";"front";"unfront";58;2
"58mgtloh8olpnudlbgjrhn3kp6";"f";"3";"front";"unfront";-14;2
"58mgtloh8olpnudlbgjrhn3kp6";"control";"3";"definite";"pro";100;2
"6sm9ah9mjs2cr9co22pcc5kla0";"f";"2";"front";"unfront";-48;2
"6sm9ah9mjs2cr9co22pcc5kla0";"f";"7";"no_dm";"dm";100;2
"6sm9ah9mjs2cr9co22pcc5kla0";"f";"4";"front";"unfront";29;2
"6sm9ah9mjs2cr9co22pcc5kla0";"f";"8";"no_dm";"dm";100;2
"6sm9ah9mjs2cr9co22pcc5kla0";"f";"1";"front";"unfront";26;2
"6sm9ah9mjs2cr9co22pcc5kla0";"control";"2";"definite";"pro";-100;2
"6sm9ah9mjs2cr9co22pcc5kla0";"control";"1";"definite";"pro";-100;2
"6sm9ah9mjs2cr9co22pcc5kla0";"f";"6";"no_dm";"dm";-1;2
"6sm9ah9mjs2cr9co22pcc5kla0";"f";"3";"front";"unfront";100;2
"6sm9ah9mjs2cr9co22pcc5kla0";"control";"4";"definite";"pro";100;2
"6sm9ah9mjs2cr9co22pcc5kla0";"f";"5";"dm";"no_dm";-100;2
"6sm9ah9mjs2cr9co22pcc5kla0";"control";"3";"definite";"pro";49;2
"9kki04g27boo1sphrh7a968al2";"control";"3";"definite";"pro";93;2
"9kki04g27boo1sphrh7a968al2";"f";"4";"unfront";"front";80;2
"9kki04g27boo1sphrh7a968al2";"control";"2";"definite";"pro";-96;2
"9kki04g27boo1sphrh7a968al2";"control";"4";"definite";"pro";75;2
"9kki04g27boo1sphrh7a968al2";"f";"6";"no_dm";"dm";93;2
"9kki04g27boo1sphrh7a968al2";"f";"1";"unfront";"front";62;2
"9kki04g27boo1sphrh7a968al2";"f";"3";"unfront";"front";37;2
"9kki04g27boo1sphrh7a968al2";"f";"2";"front";"unfront";61;2
"9kki04g27boo1sphrh7a968al2";"control";"1";"definite";"pro";-97;2
"9kki04g27boo1sphrh7a968al2";"f";"8";"dm";"no_dm";100;2
"9kki04g27boo1sphrh7a968al2";"f";"5";"dm";"no_dm";-98;2
"9kki04g27boo1sphrh7a968al2";"f";"7";"no_dm";"dm";100;2
"hc3766h91hn0gqmn2klgh1om07";"control";"2";"definite";"pro";-87;2
"hc3766h91hn0gqmn2klgh1om07";"f";"6";"no_dm";"dm";-90;2
"hc3766h91hn0gqmn2klgh1om07";"f";"4";"front";"unfront";79;2
"hc3766h91hn0gqmn2klgh1om07";"f";"2";"front";"unfront";100;2
"hc3766h91hn0gqmn2klgh1om07";"control";"4";"definite";"pro";100;2
"hc3766h91hn0gqmn2klgh1om07";"f";"3";"front";"unfront";-22;2
"hc3766h91hn0gqmn2klgh1om07";"control";"3";"definite";"pro";63;2
"hc3766h91hn0gqmn2klgh1om07";"f";"7";"no_dm";"dm";64;2
"hc3766h91hn0gqmn2klgh1om07";"f";"5";"dm";"no_dm";-30;2
"hc3766h91hn0gqmn2klgh1om07";"control";"1";"definite";"pro";-66;2
"hc3766h91hn0gqmn2klgh1om07";"f";"8";"dm";"no_dm";-99;2
"hc3766h91hn0gqmn2klgh1om07";"f";"1";"unfront";"front";-78;2
"k4hiado1bicsc7bm0fh5v2ug67";"f";"7";"dm";"no_dm";-98;2
"k4hiado1bicsc7bm0fh5v2ug67";"f";"4";"unfront";"front";0;2
"k4hiado1bicsc7bm0fh5v2ug67";"f";"5";"dm";"no_dm";-96;2
"k4hiado1bicsc7bm0fh5v2ug67";"control";"1";"definite";"pro";-90;2
"k4hiado1bicsc7bm0fh5v2ug67";"control";"3";"definite";"pro";43;2
"k4hiado1bicsc7bm0fh5v2ug67";"f";"1";"front";"unfront";0;2
"k4hiado1bicsc7bm0fh5v2ug67";"f";"8";"no_dm";"dm";70;2
"k4hiado1bicsc7bm0fh5v2ug67";"f";"3";"unfront";"front";79;2
"k4hiado1bicsc7bm0fh5v2ug67";"f";"2";"unfront";"front";2;2
"k4hiado1bicsc7bm0fh5v2ug67";"control";"4";"definite";"pro";83;2
"k4hiado1bicsc7bm0fh5v2ug67";"control";"2";"definite";"pro";-84;2
"k4hiado1bicsc7bm0fh5v2ug67";"f";"6";"no_dm";"dm";82;2
"k62idgotocbfu1icr5sd1ijv82";"f";"7";"dm";"no_dm";-51;2
"k62idgotocbfu1icr5sd1ijv82";"f";"2";"unfront";"front";-77;2
"k62idgotocbfu1icr5sd1ijv82";"f";"4";"unfront";"front";-76;2
"k62idgotocbfu1icr5sd1ijv82";"f";"6";"no_dm";"dm";32;2
"k62idgotocbfu1icr5sd1ijv82";"control";"1";"definite";"pro";0;2
"k62idgotocbfu1icr5sd1ijv82";"f";"1";"front";"unfront";78;2
"k62idgotocbfu1icr5sd1ijv82";"f";"8";"no_dm";"dm";84;2
"k62idgotocbfu1icr5sd1ijv82";"control";"3";"definite";"pro";-19;2
"k62idgotocbfu1icr5sd1ijv82";"f";"3";"front";"unfront";32;2
"k62idgotocbfu1icr5sd1ijv82";"f";"5";"dm";"no_dm";60;2
"k62idgotocbfu1icr5sd1ijv82";"control";"2";"definite";"pro";-100;2
"k62idgotocbfu1icr5sd1ijv82";"control";"4";"definite";"pro";97;2
"kjs71hv31aruq4ae79ii2ih7m7";"f";"1";"front";"unfront";100;2
"kjs71hv31aruq4ae79ii2ih7m7";"control";"2";"definite";"pro";-100;2
"kjs71hv31aruq4ae79ii2ih7m7";"f";"4";"front";"unfront";100;2
"kjs71hv31aruq4ae79ii2ih7m7";"f";"5";"no_dm";"dm";-100;2
"kjs71hv31aruq4ae79ii2ih7m7";"f";"6";"no_dm";"dm";100;2
"kjs71hv31aruq4ae79ii2ih7m7";"f";"8";"no_dm";"dm";100;2
"kjs71hv31aruq4ae79ii2ih7m7";"f";"7";"dm";"no_dm";-100;2
"kjs71hv31aruq4ae79ii2ih7m7";"control";"4";"definite";"pro";100;2
"kjs71hv31aruq4ae79ii2ih7m7";"control";"3";"definite";"pro";100;2
"kjs71hv31aruq4ae79ii2ih7m7";"control";"1";"definite";"pro";-100;2
"kjs71hv31aruq4ae79ii2ih7m7";"f";"3";"front";"unfront";100;2
"kjs71hv31aruq4ae79ii2ih7m7";"f";"2";"unfront";"front";-100;2
"o0n83gd1gebff0dkudpk06ko96";"f";"8";"dm";"no_dm";100;2
"o0n83gd1gebff0dkudpk06ko96";"control";"2";"definite";"pro";-45;2
"o0n83gd1gebff0dkudpk06ko96";"f";"5";"no_dm";"dm";94;2
"o0n83gd1gebff0dkudpk06ko96";"f";"2";"unfront";"front";100;2
"o0n83gd1gebff0dkudpk06ko96";"control";"1";"definite";"pro";-100;2
"o0n83gd1gebff0dkudpk06ko96";"f";"3";"front";"unfront";0;2
"o0n83gd1gebff0dkudpk06ko96";"f";"4";"unfront";"front";47;2
"o0n83gd1gebff0dkudpk06ko96";"f";"6";"dm";"no_dm";-76;2
"o0n83gd1gebff0dkudpk06ko96";"control";"3";"definite";"pro";87;2
"o0n83gd1gebff0dkudpk06ko96";"f";"7";"no_dm";"dm";90;2
"o0n83gd1gebff0dkudpk06ko96";"control";"4";"definite";"pro";92;2
"o0n83gd1gebff0dkudpk06ko96";"f";"1";"front";"unfront";-85;2
"of330k9ce2ds3ohou0j9086mv6";"f";"4";"unfront";"front";-82;2
"of330k9ce2ds3ohou0j9086mv6";"control";"3";"definite";"pro";70;2
"of330k9ce2ds3ohou0j9086mv6";"f";"1";"front";"unfront";32;2
"of330k9ce2ds3ohou0j9086mv6";"control";"1";"definite";"pro";-90;2
"of330k9ce2ds3ohou0j9086mv6";"f";"7";"dm";"no_dm";-75;2
"of330k9ce2ds3ohou0j9086mv6";"f";"2";"front";"unfront";81;2
"of330k9ce2ds3ohou0j9086mv6";"f";"6";"dm";"no_dm";-49;2
